"Вид растений","Масса (т) продуцируемого кислорода на 1 га растений в год","Площадь насаждения (га) деревьев для продуцирования кислорода на 1 чел. в год","Кол-во деревьев (шт) для продуцирования кислорода на 1 чел. в год","Площадь насаждения (га) деревьев для обеспечения кислородом населения Забайкальского края в год"
"Сосна",10.9,"=$C$20/B2","=C2*$C$21","=$C$22*C2"
"Дуб",27,"=$C$20/B3","=C3*$C$21","=$C$22*C3"
"Липа",11.6,"=$C$20/B4","=C4*$C$21","=$C$22*C4"
"Ель",12,"=$C$20/B5","=C5*$C$21","=$C$22*C5"
"Тополь",34.9,"=$C$20/B6","=C6*$C$21","=$C$22*C6"
"Лиственница",8,"=$C$20/B7","=C7*$C$21","=$C$22*C7"
"Клён",12.4,"=$C$20/B8","=C8*$C$21","=$C$22*C8"
"Сирень",15.3,"=$C$20/B9","=C9*$C$21","=$C$22*C9"
"Осина",13,"=$C$20/B10","=C10*$C$21","=$C$22*C10"
"Граб",12,"=$C$20/B11","=C11*$C$21","=$C$22*C11"
"Кедр",14.3,"=$C$20/B12","=C12*$C$21","=$C$22*C12"
"Ясень",11.9,"=$C$20/B13","=C13*$C$21","=$C$22*C13"
"Лещина",12,"=$C$20/B14","=C14*$C$21","=$C$22*C14"
"Бук",11.5,"=$C$20/B15","=C15*$C$21","=$C$22*C15"
"Пихта",8.6,"=$C$20/B16","=C16*$C$21","=$C$22*C16"
"Берёза",20.7,"=$C$20/B17","=C17*$C$21","=$C$22*C17"
,,,,
,,,,
"Потребление кислорода в год на 1 чел, т",,1.19,,
"Плотность насаждений, шт/га",,1200,,
"Население Забайкальского края, чел.",,983838,,
"Население России, чел.",,146119928,,
